"lemma","poscode","surface"
"Porsche Model","3","Porsche Model","Boxster","Carrera GT","Cayenne","Cayman","Panamera","Macan","918 Spyder"
"Mercedes-Benz Models","3","Mercedes-Benz Models","A-Class","B-Class","C-Class","CL-Class","CLA-Class","E-Class","M-Class","ML-Class","SLS","S-Class"
"BMW models","3","BMW models","1 Series","5 Series","M5","6 Series","M6","7 Series","8 Series","328","BMW i8","BMW i3"
"Audi Models","3","Audi Models","A1","A2","A3","S3","RS3","A4","S4","RS4","A6","S6","RS6","A7","A8","S8","Q3","Q5","Q7","Quattro","Coupé GT","R8","R8 GT","TT","TTS"
"General Motors Models","3","General Motors Models","Buick","Cadillac","Chevrolet"
"Ford Models","3","Ford Models","Lincoln","Mercury"
"Chrysler Models","3","Chrysler Models","Dodge","Jeep","Ram Trucks"
"Honda Models","3","Honda Models","Honda Civic","Honda CRV","Honda Accord","Honda Pilot","Honda Accord Hybrid","Acura"
"Nissan Models","3","Nissan Models","Altima","Pathfinder","Sentra","Versa","Murano","Frontier","Rouge","Leaf","Titan"
"Toyota Models","3","Toyota Models","Corolla","Land Cruiser","Camry","Prius","RAV4","Yaris","Prius c","4Runner","Highlander","Avalon","Tundra","Sienna","Prius v"
"Tesla Models","3","Tesla Models","Model S","Model X"
"Tata Motors models","3","Tata Motors models","Range Rover","Land Rover"
